step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
89,4.4501,-0.479,1378.833,0.000,-0.136,-46.598,0.000,46.598,0.136,403103.9,403.10,38943.43,13343.43,1.056,0.056,0.000,-0.466,0.020,-0.030,0.479,Hybrid
90,4.5001,-0.485,1376.504,0.000,-0.137,-46.561,0.000,46.561,0.137,402531.8,402.53,38936.83,13336.83,1.055,0.034,0.002,-0.464,0.012,-0.006,0.485,Hybrid
91,4.5501,-0.492,1374.177,0.000,-0.137,-46.524,0.000,46.524,0.137,401967.8,401.97,38930.23,13330.24,1.053,0.000,0.003,-0.455,0.000,0.158,0.492,Hybrid
92,4.6001,-0.499,1371.852,0.000,-0.135,-46.488,0.000,46.488,0.135,401420.2,401.42,38923.65,13323.65,1.052,0.000,0.003,-0.430,0.000,0.165,0.499,Hybrid
93,4.6501,-0.506,1369.528,0.000,-0.133,-46.452,0.000,46.452,0.133,400887.6,400.89,38917.07,13317.08,1.051,0.028,0.003,-0.405,-0.011,0.179,0.506,Hybrid
94,4.7001,-0.512,1367.207,0.000,-0.131,-46.417,0.000,46.417,0.131,400362.4,400.36,38910.51,13310.51,1.050,0.052,0.001,-0.378,-0.017,0.190,0.512,Hybrid
95,4.7501,-0.519,1364.887,0.000,-0.129,-46.382,0.000,46.383,0.129,399846.1,399.85,38903.95,13303.95,1.048,0.069,-0.001,-0.350,-0.022,0.199,0.519,Hybrid
96,4.8001,-0.525,1362.568,0.000,-0.126,-46.349,0.000,46.349,0.126,399337.7,399.34,38897.40,13297.40,1.047,0.086,-0.005,-0.321,-0.027,0.205,0.525,Hybrid
97,4.8501,-0.531,1360.252,0.000,-0.124,-46.315,0.000,46.316,0.124,398838.3,398.84,38890.86,13290.85,1.046,0.101,-0.001,-0.293,0.033,0.211,0.531,Hybrid
98,4.9001,-0.538,1357.937,0.000,-0.121,-46.283,0.000,46.283,0.121,398346.4,398.35,38884.32,13284.32,1.045,0.115,0.004,-0.263,0.037,0.214,0.538,Hybrid
99,4.9501,-0.544,1355.623,0.000,-0.118,-46.250,0.000,46.251,0.118,397862.8,397.86,38877.80,13277.80,1.044,0.128,0.001,-0.234,-0.041,0.216,0.544,Hybrid
100,5.0001,-0.549,1353.312,0.000,-0.115,-46.219,0.000,46.219,0.115,397386.9,397.39,38871.28,13271.28,1.043,0.138,-0.005,-0.205,-0.044,0.216,0.549,Hybrid
101,5.0501,-0.555,1351.002,0.000,-0.111,-46.188,0.000,46.188,0.111,396918.8,396.92,38864.77,13264.77,1.042,0.148,0.001,-0.176,0.047,0.216,0.555,Hybrid
102,5.1001,-0.560,1348.693,0.000,-0.108,-46.157,0.000,46.157,0.108,396458.5,396.46,38858.26,13258.26,1.041,0.156,0.003,-0.148,-0.052,0.214,0.560,Hybrid
103,5.1501,-0.566,1346.386,0.000,-0.105,-46.127,0.000,46.127,0.105,396005.3,396.01,38851.77,13251.77,1.040,0.163,-0.003,-0.120,-0.052,0.210,0.566,Hybrid
104,5.2001,-0.571,1344.080,0.000,-0.101,-46.098,0.000,46.098,0.101,395559.6,395.56,38845.28,13245.28,1.039,0.168,-0.002,-0.094,0.055,0.206,0.571,Hybrid
105,5.2501,-0.576,1341.776,0.000,-0.098,-46.069,0.000,46.069,0.098,395120.7,395.12,38838.80,13238.80,1.038,0.172,0.005,-0.068,0.055,0.200,0.576,Hybrid
106,5.3001,-0.581,1339.473,0.000,-0.095,-46.040,0.000,46.040,0.095,394689.2,394.69,38832.32,13232.33,1.037,0.175,0.000,-0.043,-0.056,0.193,0.581,Hybrid
107,5.3501,-0.585,1337.172,0.000,-0.092,-46.012,0.000,46.012,0.092,394264.3,394.26,38825.86,13225.86,1.036,0.176,-0.005,-0.019,0.058,0.186,0.585,Hybrid
108,5.4001,-0.590,1334.872,0.000,-0.088,-45.984,0.000,45.984,0.088,393846.4,393.85,38819.40,13219.40,1.035,0.177,0.003,0.004,0.057,0.178,0.590,Hybrid
109,5.4501,-0.594,1332.573,0.000,-0.085,-45.957,0.000,45.957,0.085,393434.9,393.43,38812.95,13212.95,1.034,0.176,0.002,0.026,-0.058,0.176,0.594,Hybrid
110,5.5001,-0.598,1330.276,0.000,-0.082,-45.930,0.000,45.930,0.082,393030.2,393.03,38806.50,13206.50,1.033,0.174,-0.005,0.047,-0.056,0.174,0.598,Hybrid
111,5.5501,-0.602,1327.981,0.000,-0.079,-45.904,0.000,45.904,0.079,392631.5,392.63,38800.06,13200.06,1.032,0.171,0.000,0.068,0.055,0.170,0.602,Hybrid
112,5.6001,-0.606,1325.686,0.000,-0.076,-45.878,0.000,45.878,0.076,392239.5,392.24,38793.63,13193.63,1.031,0.167,0.005,0.088,-0.056,0.165,0.606,Hybrid
